id_property,date_scrape,property_name,date_post,date_update,area_m2,price_eur,rooms,heating,parking,furniture,details,description,location
NkKEIg3ulQ7,2023-08-09,"Novi Beograd, Hala sportova,1.5 renoviran, id 4590",24.07.2023,24.07.2023,35,500,2.0,Centralno,Ne,Namesten sa uredjajima,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 35 m² Opremljenost nekretnine: Namesten sa uredjajima Ukupan broj soba: 2 Spratnost: 6 Ukupan broj spratova: 8,Renoviran 1.5 stan u blizini Hale sportova. Odmah useljiv. Agencijska provizija 50%.,"Srbija, Grad Beograd, Beograd, Novi Beograd Blok 4 (Politehnicka akademija)"
NkHwK6fi-aX,2023-08-09,"Bulevar, Djeram, 2.0 lux novogradnja, id 4591",24.07.2023,24.07.2023,55,800,2.0,Centralno,Ne,Namesten sa uredjajima,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 55 m² Stanje nekretnine: Novogradnja Opremljenost nekretnine: Namesten sa uredjajima Ukupan broj soba: 2 Broj kupatila: 1 Spratnost: 4 Ukupan broj spratova: 6,Namesten dvosoban stan u luksuznoj novogradnji kod Djeram pijace iz 2022. godine. Useljiv od 20.08. Agencijska provizija 50%.,"Srbija, Grad Beograd, Beograd, Djeram pijaca"
NkIOrJCXlpX,2023-08-09,"Novi Beograd, Blok 9a, Dzona Kenedija, 2.0, 61m2, 1200 EUR",08.08.2023,09.08.2023,61,1200,2.0,Centralno,Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 61 m² Uknjizeno: Da Stanje nekretnine: Novogradnja Ukupan broj soba: 2 Spratnost: 7 Ukupan brој spratova: 10,"Kompletno namesten, ekskluzivan stan na prestiznoj lokaciji, neuseljavan, opremljen kvalitetnim namestajem, odvojena spavaca soba, u cenu uracunato garazno mesto. Agencijska provizija se placa u iznosi od 50% + pdv dogovorene jednomesecne zakupnine za period zakupa u trajanju do 12 meseci   GREJANJE - CG, sprat 7/10, LIFT, TERASA, GARAZA, PARKING, NOVOGRADNJA, INTERFON, VIDEO NADZOR ID oglasa: 20791.","Srbija, Grad Beograd, Beograd, Novi Beograd Blok 9a (Dom Zdravlja), Dzona Kenedija"
Nk1uRjzgoBH,2023-08-09,"DEDINJE, Neznanog junaka - 3.0 lux polunamesten",08.08.2023,08.08.2023,100,1800,3.0,Etazno,Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 100 m² Stanje nekretnine: Novogradnja Ukupan broj soba: 3 Broj kupatila: 2 Spratnost: 1,"Za izdavanje - trosoban, polunamesten, luksuzan stan u reprezentativnoj novogradnji, u blizini RTV Pink. Garazno mesto u podzemnoj garazi zgrade uracunato u cenu. Agencijska provizija 50%.","Srbija, Grad Beograd, Beograd, Dedinje (RTV Pink), Neznanog junaka"
Nkm9lvBcG4v,2023-08-09,"BULEVAR MIHAILA PUPINA, 3.0, 74m2 - LUX - BLOK 21 - SEST KAPLARA  !!",06.08.2023,06.08.2023,74,600,3.0,Centralno,Da,Iznad standarda,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 74 m² Uknjizeno: Da Stanje nekretnine: Lux Opremljenost nekretnine: Iznad standarda Pozicija: Centar Ukupan broj soba: 3 Broj kupatila: 2 Spratnost: 16 Ukupan broj spratova: 17,AGENCIJSKA PROVIZIJA 50%,"Srbija, Grad Beograd, Beograd, Novi Beograd Blok 21 (10. Gimnazija), BULEVAR MIHAILA PUPINA"
NkYwNSZ4US9,2023-08-09,Izdavanje luksuznih stanova na Vracaru / 4.0 / 2 garazna,07.08.2023,07.08.2023,171,2800,4.0,Centralno,Da,Iznad standarda,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Cetvorosoban stan Kvadratura: 171 m² Uknjizeno: Da Stanje nekretnine: Novogradnja Opremljenost nekretnine: Iznad standarda Ukupan broj soba: 4 Broj kupatila: 3 Spratnost: 3,.,"Srbija, Grad Beograd, Beograd, Vracar (Hram)"
NkNxgP95_DE,2023-08-09,Izdavanje luksuznih stanova - 4.0 / 2 garazna - KALENIC,07.08.2023,07.08.2023,236,2450,4.0,Centralno,Da,Iznad standarda,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Cetvorosoban stan Kvadratura: 236 m² Uknjizeno: Da Stanje nekretnine: Novogradnja Opremljenost nekretnine: Iznad standarda Ukupan broj soba: 4 Broj kupatila: 3 Spratnost: 4,"Mastovit, ekscentrican i eklektican dizajn, u kojem su iskombinovani elementi nebrojeno stilova, od geometrijskog do avangardnog, od baroka do op-arta. Nije samo stvar u skupom namestaju i asesoarima, vec u hrabrosti dizajnera da se poigra, na vrlo znalacki nacin, konceptima koji su generalno nespojivi. Savrsen primer da ne mora sve, pa ni zivotni prostor, da bude ozbiljno. Za sve vas, koji ne prestajete da se igrate.","Srbija, Grad Beograd, Beograd, Vracar (Centar)"
Nkr-VFllPml,2023-08-09,Gospodara Vucica 61m2 novogradnja sa parkingom,28.07.2023,28.07.2023,60,700,2.5,Centralno,Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Dvosoban stan Kvadratura: 60 m² Uknjizeno: Da Stanje nekretnine: Novogradnja Ukupan broj soba: 2.5 Broj kupatila: 1 Spratnost: 3 Ukupan broj spratova: 7,"Izdajemo konforan dvoiposoban stan povrsine 61m2 koji se nalazi na Zvezdari kod ulice Gospodara Vucica. Stan se nalazi na 3. spratu nove zgrade od 7 spratova. Sastoji se od hodnika, dve spavace sobe, dnevnog boravka sa trpezarijom i kuhinjom, terase, kupatila i toaleta. Kompletno je namesten novim namestajem i uredjajima. CG sa kalorimetrima po potrosnji klima lift Uz stan ide i garazno mesto u garazi zgrade. Odlicna lokacija, blizina Bulevara, Vojislava ilica ulice, vise prevoza, marketa. Kucni ljubimci nisu dozvoljeni. Depozit Agencijska provizija 50% od dogovorene cene ukljucuje: istrazivanje neophodno za pronalazenje adekvatne nekretnine, pomoc u pregovorima,  provera dokumentacije, apliciranje za stambeni kredit, izrada ugovora/predugovora o kupoprodaji, organizacija primopredaje, zapisnik o primopredaji, pomoc pri prijavi poreza na apsolutna prava i eventualno oslobodjenje od istog, promena korisnika struje, infostana, vode, gasa... i sve ostalo sto podrazumeva Zakon o posredovanju u prometu i zakupu nepokretnosti. Kontakt telefoni :  011/6707565; 060/5449-002; 011/2015-718","Srbija, Grad Beograd, Beograd, Crveni krst, Gospodara Vucica"
NkPXvKqqi-P,2023-08-09,"Vracar, Lamartinova, 93m2",01.08.2023,01.08.2023,93,950,3.0,Centralno,Da,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Trosoban stan Kvadratura: 93 m² Uknjizeno: Da Ukupan broj soba: 3 Broj kupatila: 1 Spratnost: Visoko prizemlje Ukupan broj spratova: 3,"Izdajemo trosoban stan 93m2 na Vracaru u Lamartinovoj ulici. Stan se nalazi na viskom prizemlju zgrade sa 3 sprata. Sastoji se od hodnika, kuhinje sa trpezarijom, dnevne sobe, dve spavace sobe, kupatila i terase. Kompletno je namesten CG, klima Dobra lokacija, blizina parka, prevoza, marketa, skole Agencijska provizija 50% od dogovorene kupoprodajne cene ukljucuje: istrazivanje neophodno za pronalazenje adekvatne nekretnine, pomoc u pregovorima, provera dokumentacije, apliciranje za stambeni kredit, izrada ugovora/predugovora o kupoprodaji, organizacija primopredaje, zapisnik o primopredaji, pomoc pri prijavi poreza na apsolutna prava i eventualno oslobodjenje od istog, promena korisnika struje, infostana, vode, gasa... i sve ostalo sto podrazumeva Zakon o posredovanju u prometu i zakupu nepokretnosti. Kontakt telefoni : 011/6707565; 060/5449-002; 011/2015-718","Srbija, Grad Beograd, Beograd, Vracar (Centar), Lamartinova"
NkJu26oC6m7,2023-08-09,"ODLICNA LOKACIJA, Stari Grad, Trg Republike, 110m2",31.07.2023,31.07.2023,110,1500,4.0,Etazno,Ne,-,Podaci o nekretnini Transakcija: Izdavanje Kategorija: Cetvorosoban stan Kvadratura: 110 m² Uknjizeno: Da Pozicija: Strogi centar grada Ukupan broj soba: 4 Broj kupatila: 1 Spratnost: 1 Ukupan broj spratova: 4,"U prilici smo da Vam ponudimo - na izdavanje - odlican stan u strogom centru grada kod Trga Republike Stan se nalazi u blizini Narodnog pozorista, Knez Mihajlove, Studentskog parka, Terazija Kvadratura stana - 110m2 Nalazi se na 1 spratu zgade sa 4 sprata Po strukturi je 3.5 soban sa tri spavace sobe, prolaznom dnevnom sobom, izdvojenom kuhinjom, kupatilom i terasom Grejanje - etazno na struju Stan se izdaje prazan Odlicna prilika kako za zivot tako i za poslovni prostor Agencijska provizija 50% od dogovorene kupoprodajne cene ukljucuje: istrazivanje neophodno za pronalazenje adekvatne nekretnine, pomoc u pregovorima, provera dokumentacije, apliciranje za stambeni kredit, izrada ugovora/predugovora o kupoprodaji, organizacija primopredaje, zapisnik o primopredaji, pomoc pri prijavi poreza na apsolutna prava i eventualno oslobodjenje od istog, promena korisnika struje, infostana, vode, gasa... i sve ostalo sto podrazumeva Zakon o posredovanju u prometu i zakupu nepokretnosti. Kontakt telefoni : 011/6707565; 060/5449-002; 011/2015-718   We have the opportunity to offer you - for rent - an excellent apartment in the very center of the city near Republic Square The apartment is located near the National Theater, Knez Mihajlova, Student Park, Terazija Square footage of the apartment - 110m2 It is located on the 1st floor of a 4-story building According to the structure, it is 3.5 rooms with three bedrooms, a walk-through living room, a separate kitchen, a bathroom and a terrace. Heating - floor-to-ceiling with electricity The apartment is rented out empty An excellent opportunity for both living and business space Agency commission 50% of the agreed purchase price includes: research necessary to find an adequate property, help in negotiations, checking documents, applying for a housing loan, drawing up a purchase contract/pre-contract, handover organization, handover record, help with tax declaration of absolute rights and possible exemption from the same, change of user of electricity, info station, water, gas... and everything else that is implied by the Law on Intermediation in Traffic and Leasing of Real Estate. Contact phones: 011/6707565; 060/5449-002; 011/2015-718  Имеем возможность предложить Вам - посуточно - отличную квартиру в самом центре города возле Площади Республики Квартира расположена недалеко от Национального театра, Князя Михайлова, Студенческого парка, Теразии. Площадь квартиры - 110м2. Находится на 1 этаже 4-х этажного дома По структуре это 3,5 комнаты с тремя спальнями, проходной гостиной, отдельной кухней, санузлом и террасой. Отопление - от пола до потолка электричеством Квартира сдается пустая Отличная возможность как для жизни, так и для бизнеса Комиссия агентства 50% от согласованной цены покупки включает в себя: необходимые исследования для поиска подходящей недвижимости, помощь в переговорах, проверку документов, подачу заявки на получение жилищного кредита, составление договора купли-продажи/предварительного договора, организацию передачи, запись передачи, помощь с налоговая декларация об абсолютных правах и возможном освобождении от них, смена пользователя электроэнергии, информационной станции, воды, газа... и все остальное, что подразумевается Законом о посредничестве в движении и сдаче в аренду недвижимого имущества. Контактные телефоны: 011/6707565; 060/5449-002; 011/2015-718","Srbija, Grad Beograd, Beograd, Stari Grad, Trg Republike"
